card_id,rank,suit,color,role,persona_code,persona_name,flavor,skill
B-H-A,A,Hearts,Red,Boss,CTRL,拿捏者,先把颗粒度对齐，今晚只看闭环不看情绪,你方每回合第一张高费牌费用+1
B-H-2,2,Hearts,Red,Boss,ATM-er,送钱者,预算先垫着结果要翻倍，报销下周再说,你方本回合总收益+15%且回合末资源-1
B-H-3,3,Hearts,Red,Boss,Dior-s,屌丝,主打低成本高心态，能跑就算赢,高点数牌收益-15%且低点数牌收益+20%
B-H-4,4,Hearts,Red,Boss,BOSS,领导者,不要问方向，方向就是我刚改完那版,你方打出第2张牌后随机弃1张手牌
B-H-5,5,Hearts,Red,Boss,THAN-K,感恩者,感谢大家今晚继续优化，福报拉满,你方每回合额外抽1但回合末压力+4
B-H-6,6,Hearts,Red,Boss,OH-NO,哦不人,这个风险我不接受，最坏情况先写出来,你方若未打文档或测试牌则额外风险+8
B-H-7,7,Hearts,Red,Boss,GOGO,行者,先干了再说，流程跑起来再补文档,你方首张开发牌收益+40%但质量-6
B-H-8,8,Hearts,Red,Boss,SEXY,尤物,方案不止能用还得能发朋友圈,你方本回合未触发连携则总收益-20%
B-H-9,9,Hearts,Red,Boss,LOVE-R,多情者,项目要有灵魂不只是填功能点,你方本回合只打开发牌则总收益-20%
B-H-10,10,Hearts,Red,Boss,MUM,妈妈,辛苦了宝明早把最终版终版终终版都发我,你方每回合小幅恢复但截止回合额外-1
B-H-J,J,Hearts,Red,Boss,FAKE,伪人,表面轻松推进实际在看谁背锅,你方首次获得增益后回合末随机转为等量惩罚
B-H-Q,Q,Hearts,Red,Boss,OJBK,无所谓人,都行你定，复盘按你定的来,每回合随机一个流程槽收益-25%
B-H-K,K,Hearts,Red,Boss,MALO,吗喽,规则先放一边今天看灵感冲刺,每回合随机一个流程槽+35%且另一个槽-20%
B-D-A,A,Diamonds,Red,Boss,JOKE-R,小丑,氛围要有锅也要有人背先笑着推进,第2张牌效果随机+30%或-30%
B-D-2,2,Diamonds,Red,Boss,WOC!,握草人,卧槽这也能过那就再来一轮,本回合收益超阈值则下回合起手-1
B-D-3,3,Diamonds,Red,Boss,THIN-K,思考者,方案不错我有17个边界条件要补,你方回合结束若未打文档牌下回合首张牌-20%收益
B-D-4,4,Diamonds,Red,Boss,SHIT,愤世者,这方案一坨但今晚我要看到上线计划,你方首张牌收益-10%且必须额外出1张牌
B-D-5,5,Diamonds,Red,Boss,ZZZZ,装死者,先放着临近截止再一口气搞定,前半程收益-15%且最后2回合收益+30%
B-D-6,6,Diamonds,Red,Boss,POOR,贫困者,资源有限所有动作只服务一个关键指标,每回合指定1个流程槽+40%其余槽-10%
B-D-7,7,Diamonds,Red,Boss,MONK,僧人,会议先散我需要无打扰版本,你方增益槽每回合少补1张
B-D-8,8,Diamonds,Red,Boss,IMSB,傻者,冲还是不冲先冲了再复盘,你方首张牌+30%且第二张牌-30%
B-D-9,9,Diamonds,Red,Boss,SOLO,孤儿,我喜欢独立闭环你们别互相依赖,你方同回合连携加成上限-1档
B-D-10,10,Diamonds,Red,Boss,FUCK,草者,流程太慢直接拍板今天要结果,你方必须多打1张牌否则本回合收益-25%
B-D-J,J,Diamonds,Red,Boss,DEAD,死者,先这样别折腾稳住别炸就行,你方最大收益上限-20%且风险增长-30%
B-D-Q,Q,Diamonds,Red,Boss,IMFW,废物,按最坏预期做别给我惊喜,高点数牌收益-20%且低点数牌风险惩罚-50%
B-D-K,K,Diamonds,Red,Boss,HHHH,傻乐者,哈哈哈先做着看方向错了再笑着重来,每回合随机事件触发概率翻倍
C-S-A,A,Spades,Black,Coworker,CTRL,拿捏者,我先拉表定节奏流程断了我给你接上,每回合首次流程缺口时补1张缺失流程牌
C-S-2,2,Spades,Black,Coworker,ATM-er,送钱者,我来垫成本你先把里程碑打穿,本回合前两张牌费用-1
C-S-3,3,Spades,Black,Coworker,Dior-s,屌丝,别卷配置最小可用先上线,本回合第一张1到5点牌按9点结算
C-S-4,4,Spades,Black,Coworker,BOSS,领导者,我先上锅先背活先干汇报你来,本回合第一张牌效果+30%且回合末压力+3
C-S-5,5,Spades,Black,Coworker,THAN-K,感恩者,我先接需求再谢谢你给我成长机会,打出第2张牌后随机补1张普通牌
C-S-6,6,Spades,Black,Coworker,OH-NO,哦不人,我先把坑位标红雷我替你排,本回合首次风险增长减半
C-S-7,7,Spades,Black,Coworker,GOGO,行者,别开会了先把能做的做掉,每打1张牌使下一张同流程牌费用-1
C-S-8,8,Spades,Black,Coworker,SEXY,尤物,我来包装让同样功能看起来像新品发布,本回合最后一张牌额外+40%收益
C-S-9,9,Spades,Black,Coworker,LOVE-R,多情者,我来润色表达让方案从能看变好看,文档汇报牌额外+50%收益并小幅减压
C-S-10,10,Spades,Black,Coworker,MUM,妈妈,你去吃饭这段我先兜住别崩心态,压力-8且若本回合已触发负面再额外-4
C-S-J,J,Spades,Black,Coworker,FAKE,伪人,场面我来演缝我来补先把会过了,将一张低点数牌临时提升为10点且回合末压力+4
C-S-Q,Q,Spades,Black,Coworker,OJBK,无所谓人,我都行但我真能接住,可将一张牌视为缺失流程牌使用一次
C-S-K,K,Spades,Black,Coworker,MALO,吗喽,我脑洞先开落地你来收别问为什么,可将一张牌跨流程使用但点数-2
C-C-A,A,Clubs,Black,Coworker,JOKE-R,小丑,我来活跃会场顺手把僵局撬开,重抽1张手牌并可立即免费打出
C-C-2,2,Clubs,Black,Coworker,WOC!,握草人,卧槽先别慌我先把能救的救回来,本回合将一次负面效果改为0
C-C-3,3,Clubs,Black,Coworker,THIN-K,思考者,我先质疑一下不是抬杠是省返工,本回合首次负面效果无效并抽1
C-C-4,4,Clubs,Black,Coworker,SHIT,愤世者,骂归骂活我不掉链子,若本回合已触发负面立刻获得额外行动1次
C-C-5,5,Clubs,Black,Coworker,ZZZZ,装死者,平时静音DDL前我直接满血上线,剩余回合小于等于2时首张牌翻倍
C-C-6,6,Clubs,Black,Coworker,POOR,贫困者,预算不够就聚焦别四处撒网,本回合仅打同一流程牌时每张额外+15%
C-C-7,7,Clubs,Black,Coworker,MONK,僧人,我不说话但我会把杂音都关掉,本回合敌方第一个干扰效果失效
C-C-8,8,Clubs,Black,Coworker,IMSB,傻者,我先冲一次不行我再自我补救,可将一次失败判定重掷并采用第二次结果
C-C-9,9,Clubs,Black,Coworker,SOLO,孤儿,我单点突破很快但别让我频繁同步,单张高点数牌额外+25%且第2张牌起收益-10%
C-C-10,10,Clubs,Black,Coworker,FUCK,草者,废话少说能不能上线就一句话,本回合第一张开发牌+50%且回合末质量-5
C-C-J,J,Clubs,Black,Coworker,DEAD,死者,我不抢节奏但我能让系统不崩,本回合所有负面状态持续回合-1
C-C-Q,Q,Clubs,Black,Coworker,IMFW,废物,我先把预期打低做到及格就算超预期,本回合若总收益未达标返还1点资源
C-C-K,K,Clubs,Black,Coworker,HHHH,傻乐者,别慌脸黑我也能把节目效果打满,随机获得一项增益若为负面则自动重抽一次
B-JK-BIG,JOKER,Joker,Red,Boss,DRUNK,酒鬼,今晚状态拉满需求我口头说了你们自己悟,你方本回合总收益+35%且下回合第一张牌失效
C-JK-SMALL,JOKER,Joker,Black,Coworker,DRUNK,酒鬼,我能爆一波但后劲你们自己补,本回合第一张牌按13点结算且回合末压力+10
